variant,idea,name,asset,trades_per_yr,total_return,cagr,sharpe,max_dd,bh_return,bh_max_dd,ret_2x,ret_3x,verdict,flags
26,IDEA-051,Keltner breakout,GLD,7.2,0.224824048269427,0.0157463171911713,0.1591499169849072,-0.1885480493106029,0.5406328332689652,-0.4532452206750047,,,FAIL,
27,IDEA-052,Aroon 25 trend,GLD,8.9,0.0875062937475572,0.0064836592825325,0.0577409012029956,-0.3787398030510716,0.5406328332689652,-0.4532452206750047,,,FAIL,
28,IDEA-053,ROC 125-day filter,SPY,6.5,1.6053733138401531,0.0765616285505308,0.6263856860985183,-0.2322727153894139,3.338272032196654,-0.3204897694856761,,,FAIL,
29,IDEA-054,10-month SMA timing,SPY,1.7,1.179348507488262,0.0618542539957422,0.473610165711501,-0.2219897401216504,3.338272032196654,-0.3204897694856761,,,FAIL,
30,IDEA-054,10-month SMA timing,GLD,2.2,0.2279679080806136,0.0159469402423659,0.1416505824823752,-0.4164337128227383,0.5406328332689652,-0.4532452206750047,,,FAIL,
31,IDEA-055,Weekly GC 10/40wk,SPY,1.0,1.4133858594266129,0.0702317197726272,0.5293473425451564,-0.3204897694856758,3.338272032196654,-0.3204897694856761,,,FAIL,
32,IDEA-056,EMA crossover 12/26,GLD,8.6,0.3320698097386887,0.0223359696633618,0.198673239025379,-0.3707468673986522,0.5406328332689652,-0.4532452206750047,,,FAIL,
33,IDEA-057,Elder triple screen,SPY,10.9,0.5935813552897851,0.0365518834026552,0.5279964694457038,-0.1089690296353779,3.338272032196654,-0.3204897694856761,,,FAIL,
34,IDEA-058,Chandelier exit + Donchian entry,GLD,7.6,0.3662996200937993,0.0243362669169164,0.2352241737338553,-0.193397381816147,0.5406328332689652,-0.4532452206750047,,,FAIL,
35,IDEA-059,SuperTrend 10/3,GLD,9.0,0.31600898689751,0.0213810146077861,0.1936768785534386,-0.2043260607940039,0.5406328332689652,-0.4532452206750047,,,FAIL,
36,IDEA-060,LinReg slope 50d,SPY,4.5,1.076163385928366,0.0578937165371746,0.4839128592362947,-0.255075374539234,3.338272032196654,-0.3204897694856761,,,FAIL,
37,IDEA-062,ATR trailing stop on GC,SPY,0.9,0.2074176572054376,0.0146268657980079,0.3332040818693454,-0.0550001015007368,3.338272032196654,-0.3204897694856761,,,FAIL,
38,IDEA-063,MA ribbon 10-50,GLD,6.7,0.3113179505611056,0.0211000619302779,0.2184429503447952,-0.2018412384292321,0.5406328332689652,-0.4532452206750047,,,FAIL,
39,IDEA-064,Ride upper Bollinger,GLD,15.7,0.1352015406143114,0.0098174196161617,0.1118254774591772,-0.0870326600465207,0.5406328332689652,-0.4532452206750047,,,FAIL,
40,IDEA-065,"52wk-high momentum, 10% trail",SPY,1.5,1.7028792540943405,0.079613259696877,0.6503164492709429,-0.184359669695678,3.338272032196654,-0.3204897694856761,,,FAIL,
41,IDEA-065,"52wk-high momentum, 10% trail",AAPL,4.4,2.6716470946390323,0.1053943977049751,0.5810219617956968,-0.3605222280996941,18.754920258056387,-0.4419022008899439,,,FAIL,
42,IDEA-066,Sector rotation top-3 (6m),9 SPDR sectors,8.0,3.828833491665222,0.1289732634198606,0.7667228052986983,-0.2903126734974469,3.4266694066237253,-0.3461103992758146,,,PASS,
43,IDEA-102,"Sector rotation top-3, inv-vol wts",9 SPDR sectors,12.0,3.4482009679074386,0.1218545513861801,0.7462984538704518,-0.2901401067786912,3.4266694066237253,-0.3461103992758146,,,PASS,
44,IDEA-067,Vol-adjusted trend (Sharpe>0.3),SPY,1.9,0.6836088943248559,0.0409497670259493,0.3123287360198674,-0.3895897586672188,3.338272032196654,-0.3204897694856761,,,FAIL,
45,IDEA-011,RSI(2) reversion (Connors),SPY,15.6,0.5319200333122838,0.0334053631844808,0.4293110833063262,-0.1416953427800431,3.338272032196654,-0.3204897694856761,,,FAIL,
46,IDEA-011,RSI(2) reversion (Connors),QQQ,16.6,0.5057341464888641,0.0320336225072825,0.3445621076380613,-0.1266148289388169,5.42886034099324,-0.3669303629848333,,,FAIL,
47,IDEA-012,Bollinger reversion,SPY,9.2,0.9886293910420464,0.0543888047688949,0.4789069707004893,-0.2695761836285621,3.338272032196654,-0.3204897694856761,,,FAIL,
48,IDEA-014,IBS reversion,SPY,70.2,0.7131104796437846,0.0423437806141757,0.4286169462139513,-0.2021095381737343,3.338272032196654,-0.3204897694856761,0.4278114345194614,0.1899823357339387,FAIL,
49,IDEA-014,IBS reversion,GLD,72.9,-0.0757000485938851,-0.0060461836188485,-0.1374171848643698,-0.2381283523318973,0.5406328332689652,-0.4532452206750047,-0.2350420104665439,-0.366938650600234,FAIL,
50,IDEA-015,Williams %R bounce,SPY,11.6,0.7598663732617696,0.0445083535891721,0.4211607806515606,-0.2412262015321583,3.338272032196654,-0.3204897694856761,,,FAIL,
51,IDEA-016,MA envelope fade (short),SPY,1.4,0.0060067563021131,0.0004614866082912,-0.1123120127989963,-0.0928367502280592,3.338272032196654,-0.3204897694856761,,,FAIL,
52,IDEA-018,Stochastic reversion,SPY,11.8,1.1818793661649294,0.0619492036711339,0.5102812413859955,-0.2583784974228486,3.338272032196654,-0.3204897694856761,,,FAIL,
53,IDEA-019,Pairs z-score reversion,GLD/SLV,6.9,-0.1879790404848037,-0.0159141201259436,-0.2383901080274824,-0.2958762638407274,0.4976848625799166,-0.5753206368459514,,,FAIL,
54,IDEA-019,Pairs z-score reversion,XLE/XLB,7.5,-0.1662574468052806,-0.0139106901448652,-0.2022847130330077,-0.3192476238433754,1.825794221983419,-0.5180871582910813,,,FAIL,
55,IDEA-068,Double 7's,SPY,20.5,0.9657738712065452,0.053450222397221,0.5152700981887737,-0.1471355688799301,3.338272032196654,-0.3204897694856761,,,FAIL,
56,IDEA-069,TPS PercentRank,SPY,1.1,0.3064706241207469,0.0208087726259333,0.2685780124408835,-0.2025698984207428,3.338272032196654,-0.3204897694856761,,,FAIL,
57,IDEA-070,Williams %R gated,SPY,6.9,0.87152530623294,0.0494702618430875,0.5171120541797791,-0.291583392114528,3.338272032196654,-0.3204897694856761,,,FAIL,
58,IDEA-071,Stochastic gated,SPY,5.7,0.8505643226728383,0.048560010891917,0.5191469940356308,-0.2594864302972099,3.338272032196654,-0.3204897694856761,,,FAIL,
59,IDEA-072,RSI(3) reversion variant,SPY,5.5,0.0555555604956072,0.0041740620216679,-0.0164495011425942,-0.1346808502466864,3.338272032196654,-0.3204897694856761,,,FAIL,
60,IDEA-072,RSI(4) reversion variant,SPY,1.8,0.1996263924864694,0.0141209555310051,0.2535311910428566,-0.0812888424206861,3.338272032196654,-0.3204897694856761,,,FAIL,
61,IDEA-073,Pct-below-MA reversion,SPY,0.8,0.0389396999439528,0.0029473400268276,-0.0106689032073052,-0.2695761836285618,3.338272032196654,-0.3204897694856761,,,FAIL,
62,IDEA-074,ADX-low gated RSI(2),SPY,8.3,0.1059392280374402,0.0077877739390004,0.0612098432289978,-0.1464766361285571,3.338272032196654,-0.3204897694856761,,,FAIL,
63,IDEA-075,3 consecutive down days,SPY,16.0,0.4499415649923191,0.0290359539863911,0.3028795871983522,-0.3072755646342994,3.338272032196654,-0.3204897694856761,,,FAIL,
64,IDEA-076,52-week low bounce,AAPL,0.3,0.147668029342884,0.010667466625807,0.1939895552287785,-0.0363802429109818,18.754920258056387,-0.4419022008899439,,,FAIL,
65,IDEA-076,52-week low bounce,MSFT,0.8,0.2454728236301171,0.017055409356482,0.367639955023456,-0.0433277273220286,9.162575480964993,-0.3646005760770029,,,FAIL,
66,IDEA-077,Keltner fade (ADX<20),SPY,3.5,0.3626572721748511,0.024125630773125,0.307739220821678,-0.1016516905898181,3.338272032196654,-0.3204897694856761,,,FAIL,
67,IDEA-078,Donchian fade (ADX<20),SPY,16.6,-0.3972743106866488,-0.0382542481094309,-0.3700372587993235,-0.4396912604185249,3.338272032196654,-0.3204897694856761,,,FAIL,
68,IDEA-079,VIX spike reversion,SPY (VIX signal),9.7,0.0303559356337057,0.0023065037728955,0.0044275473781123,-0.315198410037657,3.338272032196654,-0.3204897694856761,,,FAIL,
69,IDEA-020,Donchian 20/10 (Turtle 1),GLD,7.9,0.4021755020139361,0.0263837130644939,0.2476873014765422,-0.2162461837919999,0.5406328332689652,-0.4532452206750047,,,FAIL,
70,IDEA-021,Donchian 55/20 (Turtle 2),GLD,3.9,0.1289498588664361,0.0093878901414303,0.0826178296597393,-0.3265002526142957,0.5406328332689652,-0.4532452206750047,,,FAIL,
71,IDEA-020,Donchian 20/10 (Turtle 1),SPY,8.4,1.6942837913880942,0.0793483675962689,0.811976895851309,-0.0801887207911802,3.338272032196654,-0.3204897694856761,,,FAIL,
72,IDEA-021,Donchian 55/20 (Turtle 2),SPY,5.5,0.4432846582223264,0.0286712047352473,0.3037723925049584,-0.1655017778220949,3.338272032196654,-0.3204897694856761,,,FAIL,
73,IDEA-022,52wk-high breakout,AAPL,3.9,3.343236425571095,0.1197925427380424,0.75403497985414,-0.2971867270548863,18.754920258056387,-0.4419022008899439,,,FAIL,
74,IDEA-022,52wk-high breakout,XLK,5.6,0.3767565940156965,0.0249381241968813,0.2324948981914051,-0.2269096118250873,5.458943102653879,-0.3547516077858003,,,FAIL,
75,IDEA-023,ATR volatility breakout,GLD,9.2,-0.4906929380051152,-0.0506518193379109,-0.296990740315134,-0.7322550741527796,0.5406328332689652,-0.4532452206750047,,,FAIL,
76,IDEA-024,Bollinger squeeze breakout,GLD,1.4,0.0674760028590484,0.0050431972531137,-0.0245452456581672,-0.0980244097129395,0.5406328332689652,-0.4532452206750047,,,FAIL,
77,IDEA-026,Volume-confirmed breakout,AAPL,4.3,0.5278856256751288,0.0331954388552295,0.2716298139470149,-0.342184466002665,18.754920258056387,-0.4419022008899439,,,FAIL,
